##= New Provinces Localisation =##

PROV2016;Uruk;;;;;;;;;;;;x
PROV2017;Larsa;;;;;;;;;;;;x
PROV2018;Ur;;;;;;;;;;;;x
PROV2019;Lagash;;;;;;;;;;;;x
PROV2020;Nippur;;;;;;;;;;;;x
PROV2021;Isin;;;;;;;;;;;;x
PROV2022;Shurruppak;;;;;;;;;;;;x
PROV2023;Babylon;;;;;;;;;;;;x
PROV2024;Akkad;;;;;;;;;;;;x
PROV2025;Ctesiphon;;;;;;;;;;;;x
PROV2026;Ammon;;;;;;;;;;;;x
PROV2027;Serapion;;;;;;;;;;;;x
PROV2028;Barke;;;;;;;;;;;;x
PROV2029;Echinos;;;;;;;;;;;;x
PROV2030;Notia;;;;;;;;;;;;x
PROV2031;Ramitha;;;;;;;;;;;;x
PROV2032;Suksi;;;;;;;;;;;;x
PROV2033;Arpad;;;;;;;;;;;;x
PROV2034;Gebal;;;;;;;;;;;;x
PROV2035;Sidon;;;;;;;;;;;;x
PROV2036;Dora;;;;;;;;;;;;x
PROV2037;Samaria;;;;;;;;;;;;x
PROV2038;Ebla;;;;;;;;;;;;x
PROV2039;Qatna;;;;;;;;;;;;x
