##= Bookmark Info =##
BRB_ERA_CHAR_NAME_1;Sargon of Akkad;;;;;;;;;;;;x
ERA_CHAR_INFO_1;Sarru-kin, or Sargon in English, is the vassal ruler of the once great city of Akkad. He bears the name of the legendary founder of the First Empire and many of his people believe him to be the second coming of the great Sargonic dynasty and that he is the hero come to restore the empire to its former glories...;;;;;;;;;;;;x
AKKAD;Akkad;;;;;;;;;;;;x
bm_attilas_legacy;Attila's Legacy;;;;;;;;;;;;x
BM_ATTILAS_LEGACY_ERA;Attila's Legacy;;;;;;;;;;;;x
BM_ATTILAS_LEGACY_INFO;Just two centuries after the collapse of the Carthaginian Hegemony over the western half of the Mediterranean, the nation states surrounding the European sea now lie shattered and squabble amongst themselves once more. Punic influence is still present in their former trade outposts and colonies. Meanwhile, the last remnants of Attila's great empire now lie in ruins after the most recent civil war which usurped the once ruling clan of Attila and the Hunnic Empire now lies in the hands of a warlord by the name of Ellac the Brute. Will these two once great nations rise again? Or fade into obscurity like so many more before them?;;;;;;;;;;;;x
ASORISTAN;Asoristan;;;;;;;;;;;;x
BRB_ERA_CHAR_NAME_2;Shahrwaraz;;;;;;;;;;;;x
ERA_CHAR_INFO_350;Shahrwaraz or Shahrbaraz, a prominent spahbed of the Persian army is in a state of discontent with his liege, Khosrow II. The Shahanshah's tyrannical policies are making the nobles of the empire feel uneasy. It is the dream of Shahrbaraz that he can bring people to his cause and take the Sassanid Empire into the hands of his Mihran Clan once again and reclaim his father's throne from the evil Sassanian dynasty.;;;;;;;;;;;;x

## move me pls 

KUSHANSHAH;Kushanshah;;;;;;;;;;;;x
KUSHANSHAHANSHAH;Kushanshahanshah;;;;;;;;;;;;x
KUSHANSHAHBANU;Kushanshahbanu;;;;;;;;;;;;x

k_kushanshahr;Kushanshahr;;;;;;;;;;;;x
e_kushan_empire;Kushan Empire;;;;;;;;;;;;x

e_macedonia;Macedonia;;;;;;;;;;;;x

k_pictland;Pictland;;;;;;;;;;;;x
k_britannia;Britannia;;;;;;;;;;;;x
k_brigantia;Cumbria;;;;;;;;;;;;x
k_ireland;Hibernia;;;;;;;;;;;;x
