##= Religions Localisation =##

##= African Group =##
african_grp;African;;;;;;;;;;;;x
west_african_pagan_reformed;Fetishist;;;;;;;;;;;;x
west_african_pagan;Fetishist;;;;;;;;;;;;x
berber_reformed;Berber;;;;;;;;;;;;x
berber_reformed_DESC;The Berber religion is an ancient and native set of beliefs and dieties adhered to by the Amazigh people of North Africa. Many of their beliefs were developed locally, whereas others were influenced over time by other African religions, such as Kemetism, or perhaps from more external influences such as the Greeks, Phoenicians or even the Italics.\n;;;;;;;;;;;;x
berber;Berber;;;;;;;;;;;;x
berber_DESC;The Berber religion is an ancient and native set of beliefs and dieties adhered to by the Amazigh people of North Africa. Many of their beliefs were developed locally, whereas others were influenced over time by other African religions, such as Kemetism, or perhaps from more external influences such as the Greeks, Phoenicians or even the Italics.\n;;;;;;;;;;;;x
GOD_AMMON;Ammon;;;;;;;;;;;;x
GOD_GURZIL;Gurzil;;;;;;;;;;;;x
GOD_TANNIT;Tannit;;;;;;;;;;;;x
GOD_AFRI;Afri;;;;;;;;;;;;x
THE_JNOUN;The Jnoun;;;;;;;;;;;;x
THE_BOOK_OF_FOREFATHERS;The Book of Forefathers;;;;;;;;;;;;x
MARABOUT;Marabout;;;;;;;;;;;;x

##= Anatolic =##
anatolian_grp;Anatolic;;;;;;;;;;;;x
khaldic;Khaldic;;;;;;;;;;;;x
khaldic_full;Khaldic;;;;;;;;;;;;x
khaldic_DESC;The Khaldic pantheon represents a religion which grew out of the ancient Urartian culture, many millenia before. A principally polytheistic faith, the chief god is known as Khaldi, and is worshipped as a warrior god. Despite heavy Persian influences over the centuries (such as the introduction of Ahura Mazda in the form of Aramazd), the Armenians have managed to keep their pantheon mostly intact.\n;;;;;;;;;;;;x
khaldic_reformed;Khaldic;;;;;;;;;;;;x
khaldic_reformed_full;Khaldic Reformed;;;;;;;;;;;;x
khaldic_reformed_DESC;The Khaldic pantheon represents a religion which grew out of the ancient Urartian culture, many millenia before. A principally polytheistic faith, the chief god is known as Khaldi, and is worshipped as a warrior god. Despite heavy Persian influences over the centuries (such as the introduction of Ahura Mazda in the form of Aramazd), the Armenians have managed to keep their pantheon mostly intact.\n;;;;;;;;;;;;x
GOD_KHALDI;Khaldi;;;;;;;;;;;;x
GOD_ARAMAZD;Aramazd;;;;;;;;;;;;x
GOD_THEISPAS;Theispas;;;;;;;;;;;;x
